study_hours,attendance,assignments_completed,sleep_hours,previous_score,extracurricular_hours,performance_score,pass
8.0,74.7,10,8.6,64.2,7.1,100.0,Pass
4.9,92.5,7,7.8,64.4,7.1,100.0,Pass
8.7,86.5,5,6.1,91.3,4.2,100.0,Pass
7.3,69.1,5,8.9,69.3,2.5,100.0,Pass
1.8,92.5,5,8.1,63.4,6.2,86.9,Pass
9.8,91.2,9,7.9,51.0,5.3,100.0,Pass
7.9,72.4,4,6.8,54.9,3.0,93.2,Pass
8.1,68.0,3,6.1,66.2,0.8,97.9,Pass
2.2,85.7,5,5.4,61.3,6.0,76.8,Pass
5.1,61.3,2,8.6,36.3,2.1,74.4,Pass
4.3,64.0,2,6.8,84.6,7.5,87.5,Pass
9.3,55.3,2,5.8,88.8,1.9,100.0,Pass
6.8,90.4,8,6.2,43.4,1.0,100.0,Pass
8.4,84.9,8,7.3,68.2,6.6,100.0,Pass
5.0,86.7,8,5.7,41.5,1.2,82.7,Pass
3.0,90.1,6,8.4,75.3,1.4,100.0,Pass
6.0,75.7,8,8.0,51.9,4.8,90.8,Pass
1.6,80.6,3,7.9,74.6,7.0,81.5,Pass
8.4,61.3,10,6.7,78.6,1.6,100.0,Pass
6.7,60.2,6,7.5,81.1,2.5,100.0,Pass
7.8,85.1,10,7.3,41.5,6.2,96.4,Pass
4.2,76.2,3,7.6,90.0,7.8,93.1,Pass
9.7,80.4,6,5.3,48.8,4.0,84.4,Pass
9.0,89.4,8,6.7,37.2,1.2,100.0,Pass
8.0,83.6,6,5.2,68.3,0.1,97.6,Pass
2.8,79.9,6,7.0,57.3,1.8,84.5,Pass
5.2,80.2,3,6.3,84.8,1.1,94.9,Pass
1.4,68.7,5,5.6,83.5,5.4,81.0,Pass
2.4,56.4,4,5.4,54.0,1.0,61.8,Pass
7.1,74.7,4,7.4,92.2,4.1,100.0,Pass
7.7,64.7,8,5.7,52.5,5.6,100.0,Pass
9.7,73.4,7,8.7,65.9,4.6,100.0,Pass
3.9,93.4,7,7.3,50.4,1.6,87.8,Pass
4.3,65.5,5,6.4,91.2,6.4,100.0,Pass
5.2,57.6,10,7.4,44.9,5.7,100.0,Pass
2.7,67.7,2,5.1,37.7,5.9,50.8,Pass
2.2,68.2,5,8.8,61.1,1.0,89.1,Pass
5.3,84.8,3,6.9,94.5,1.0,100.0,Pass
3.0,80.1,5,8.1,88.5,7.4,100.0,Pass
7.0,90.3,10,5.3,79.9,3.2,100.0,Pass
